Provider ID,Score,ScoreBin,Hospital Name,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Efficient use of medical imaging national comparison,Hospital,Cleanliness,Nurses,Doctors,HelpWhenNeeded,PainControl,ExplainMeds,RecoveryInfo,UnderstandCare,Rating,Quiet,Recommend,HAI2,HAI3,HAI4,HAI5,HAI6,Aggregate_Inf,PAYM_30_AMI,PAYM_30_HF,PAYM_30_PN,PayPerBenAvg,COMP_HIP_KNEE,PSI_12_POSTOP_PULMEMB_DVT,PSI_13_POST_SEPSIS,PSI_14_POSTOP_DEHIS,PSI_15_ACC_LAC,PSI_3_ULCER,PSI_4_SURG_COMP,PSI_6_IAT_PTX,PSI_7_CVCBI,PSI_8_POST_HIP,PSI_90_SAFETY,MORT_30_AMI,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,READM_30_AMI,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,OP_12 eLab_Rec,OP_17_TrackMedInfo,OP_25_CHECK_OP,SM_PART_GEN_SURG,SM_PART_NURSE,SM_SS_CHECK_IP,SumStruct,ED_IP_Throughput,EDV,IMM__PT,IMM_Workers,ED_OP_Throughput,TimeToEval,TimeToPainMed,LeftBeforeTreat,Endoscopy polyp surveillance  appropriate follow-up interval for normal colonoscopy in average risk patients,AspirinCP,TimeToECG,ElectiveEarlyDelivery,AppropStrokeCare,HospVTE
160147,3,0,GRINNELL REGIONAL MEDICAL CENTER,50112,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,160147,87,87,89,80,80,72,89,61,80,72,75,6.163328197,50,0,0,0.68697046,0.820765364,,14736,13910,14323,,6.12,12.11,2.21,1.53,0.39,,0.39,0.28,0.06,1,,8.9,14.4,17.3,17.1,,19.9,20.4,,15.1,17,12.1,1,0,1,1,0,1,4,187,1,96,86,89,26,38,1,96,98,10,0,,
160153,3,0,MERCY MEDICAL CENTER-SIOUX CITY,51101,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,160153,72,74,77,59,69,57,86,47,66,55,69,0.387747189,7.575757576,22.72727273,0,1.022291637,0.523339673,21359,16945,13955,17419.66667,3.4,3.69,14.8,2.88,1.64,0.11,143.04,0.37,0.19,0.06,0.86,16.3,9.5,13.7,17.6,18.2,17.1,20.2,21.5,4.8,15.1,17.1,11.7,1,1,1,0,1,1,5,215,2,99,98,132,18,51,1,87,,,14,,12
170006,3,0,VIA CHRISTI HOSPITAL PITTSBURG INC,66762,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,170006,73,77,82,66,69,65,87,51,75,62,70,1.919385797,105.2631579,0,0.079447049,0.33792346,0.353010394,23245,14902,13230,17125.66667,4.2,5.28,15.35,2.22,1.5,1.58,132.44,0.61,0.27,0.06,1.1,14.4,10.1,12.5,17.7,16.8,16.4,20,20.3,4.2,14.7,14.6,12.4,1,1,1,0,1,1,5,176,1,98,100,113,24,47,2,100,,,0,,
170012,3,0,SALINA REGIONAL HEALTH CENTER,67401,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,170012,71,77,82,60,69,66,90,53,74,60,75,0.606428138,35.71428571,0,0,0.765675846,0.413288439,24475,16110,14510,18365,2.9,6.27,11.2,2.3,1.52,0.14,154.58,0.42,0.19,0.06,0.97,13.9,9.3,12.1,13.6,16,17,19.2,22.1,5,15.7,19,12,1,1,1,0,0,1,4,185,2,98,91,111,4,42,0,90,,,3,86,
170013,3,0,HAYS MEDICAL CENTER,67601,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,170013,71,79,80,64,71,62,92,51,74,66,72,0,0,0,0,0.212089077,0.099083478,21154,15667,14562,17127.66667,2.9,7.7,8.22,2.07,2.08,0.55,158.56,0.37,0.11,0.06,1.17,12.7,8.2,12.6,18.1,13.8,15.3,19.7,20.8,5.3,15,16.9,11.5,1,1,1,0,1,1,5,190,1,99,100,119,19,37,1,63,,,1,,
170016,3,0,ST FRANCIS HEALTH CENTER INC,66606,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,170016,73,79,80,65,69,64,89,54,74,60,75,0.215656675,55.55555556,0,0.091928663,0.360490267,0.323591275,26913,17263,14946,19707.33333,3.6,4.83,11.74,2.39,2.1,0.75,155.2,0.29,0.1,0.06,1.03,14.9,9.5,14.7,16.3,15.8,16.6,19,19.5,4.8,15.5,13.9,13.7,1,1,1,1,1,1,6,232,2,87,99,135,22,58,3,96,,,1,100,
170017,3,0,SUSAN B ALLEN MEMORIAL HOSPITAL,67042,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,170017,84,81,85,71,73,67,88,55,79,69,79,0,0,,0,0,0,,14247,14985,14616,3.3,5.08,9.77,,1.49,0.4,,0.46,0.16,0.06,0.91,,11.1,12.1,22.1,13.9,,22.6,21.5,4.7,15.7,18.4,12.6,1,1,1,0,0,1,4,176,1,99,96,83,26,34,1,100,99,4,10,,
170023,3,0,ST CATHERINE HOSPITAL,67846,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,170023,78,76,76,63,64,63,82,48,64,68,66,0.503778338,0,0,0.056931398,0.486381323,0.277377122,23933,16595,14407,18311.66667,3.2,3.46,8,2.7,1.5,0.97,,0.49,0.14,0.06,0.84,12.4,9.7,13.6,17.1,,16.6,19.4,22.4,5.1,15.9,17.1,,0,0,1,0,0,1,2,209,1,98,99,107,24,52,2,,,,2,,
170027,3,0,PRATT REGIONAL MEDICAL CENTER,67124,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,170027,76,85,87,74,77,65,91,56,82,75,78,0.684462697,0,166.6666667,0,0,0.166903113,,18034,13255,15644.5,4.2,14.89,12.15,2.24,1,0.34,127.58,0.39,0.16,0.06,1.4,,8.5,12.6,16.1,15.4,,19.3,20.9,4.7,14.9,14.9,13,1,1,1,0,0,1,4,186,1,89,90,82,10,56,0,86,90,10,0,,
170040,3,0,UNIVERSITY OF KANSAS HOSPITAL,66103,Acute Care Hospitals,Government,1,1,Same as the national average,170040,71,83,82,68,70,66,89,59,82,66,84,1.943284871,46.11650485,10.61571125,0.109653131,1.024042988,0.709278104,24699,17142,14468,18769.66667,3,5.45,21.35,1.42,0.9,0.5,103.94,0.22,0.24,0.06,0.84,13.2,6.6,10.3,15.2,16.6,18.3,20.4,22.6,4.7,17,17.5,13.8,1,1,1,1,1,1,6,403,3,88,96,257,52,93,4,98,,,4,97,1
170049,3,0,OLATHE MEDICAL CENTER,66061,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,170049,65,79,81,69,71,64,90,54,75,60,76,0.271665308,50,8.771929825,0,0.513948564,0.324173833,20662,16653,14754,17356.33333,2.7,3.11,7.17,1.98,1.88,0.52,118.65,0.43,0.1,0.06,0.85,14.5,9,11.7,20.3,17,18.6,19.5,21.8,4.4,16.2,17.3,13.8,1,1,1,0,1,1,5,209,3,97,97,146,21,55,1,95,,,0,88,0
170058,3,0,MERCY HOSPITAL-FORT SCOTT,66701,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,170058,74,81,83,73,72,70,87,54,75,70,68,0,0,0,0,0,0,,13553,14924,14238.5,,4.37,,2.27,1.06,0.38,,0.46,0.16,0.06,0.76,,8.9,13.5,21.2,15.7,,20.1,21.3,,15.9,19.6,,1,1,1,0,0,1,4,166,1,100,99,108,18,40,3,81,92,9,3,,
170068,3,0,SOUTHWEST MEDICAL CENTER,67901,Acute Care Hospitals,Government,1,1,Same as the national average,170068,75,79,77,67,69,69,89,46,70,57,66,0.600600601,0,0,0,0.542667209,0.289787875,,15736,13366,14551,3.1,3.92,9.42,2.26,1.36,0.36,,0.39,0.16,0.06,0.78,,6.9,11.1,19,15.6,,19.4,19.9,4.7,14.8,16.5,,1,1,1,0,0,1,4,211,1,95,90,124,29,38,1,34,96,7,7,,
170074,3,0,GEARY COMMUNITY HOSPITAL,66441,Acute Care Hospitals,Government,1,1,Same as the national average,170074,79,86,85,74,73,68,90,55,76,65,79,0,0,0,0,0.204206657,0.088865192,,16331,12371,14351,2.9,4.25,,2.28,1.5,0.4,,0.4,0.16,0.06,0.85,,8.2,13.2,23,16.6,,20.7,22.4,4.7,15.4,17.2,12.5,1,1,1,0,0,1,4,241,1,98,91,112,15,47,2,48,91,9,0,,
170105,3,0,MCPHERSON HOSPITAL INC,67460,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,170105,69,80,87,76,71,68,89,48,72,65,64,0,0,,0,0,0,,14833,12464,13648.5,,4.94,,2.28,1.21,0.41,,0.53,0.17,0.06,0.85,,8.4,12.9,15.9,15.9,,19.4,22.5,,14.8,15.1,13,1,1,1,0,0,1,4,204,1,89,79,102,20,50,1,98,98,9,0,,
170137,3,0,LAWRENCE MEMORIAL HOSPITAL,66044,Acute Care Hospitals,Government,1,1,Above the national average,170137,77,80,83,67,71,67,91,56,78,64,78,0,0,0,0,0.412079826,0.181441161,22254,16385,14838,17825.66667,2.2,2.67,12.55,2.65,1.29,0.25,128.47,0.36,0.13,0.06,0.7,13.5,10.6,15.3,18.2,13.9,17.3,20.9,24.4,3.8,16.3,16.9,11.6,1,1,1,0,1,1,5,187,2,97,97,148,18,32,0,94,82,,1,97,
170145,3,0,COFFEYVILLE REGIONAL MEDICAL CENTER,67337,Acute Care Hospitals,Government,1,1,Same as the national average,170145,76,77,79,65,68,64,84,49,67,63,65,0,0,0,0.103188525,0.21028283,0.145377011,,14820,13379,14099.5,3.4,6.56,9.4,2.21,1.13,0.34,,0.38,0.15,0.06,0.89,,7.3,12.9,15.9,14.2,,17.9,20.7,4.6,15.1,16.8,12,1,1,1,0,0,1,4,201,1,85,99,128,27,62,1,97,86,10,2,,
170150,3,0,SOUTH CENTRAL KS  MED CENTER,67005,Acute Care Hospitals,Government,1,1,Not Available,170150,63,76,87,70,67,60,88,49,61,71,63,2.906976744,0,0,0,0.25233409,0.347342827,,15123,11754,13438.5,3.3,4.74,,,2.44,0.42,,0.4,0.17,0.06,1.09,,8.7,12.8,22.7,13.9,,19.5,21.2,4.3,15.1,15,12.6,1,1,1,0,0,1,4,180,1,96,86,95,15,49,0,94,100,7,6,,
170175,3,0,WESTERN PLAINS MEDICAL COMPLEX,67801,Acute Care Hospitals,Proprietary,1,1,Not Available,170175,71,77,80,66,64,62,83,45,69,60,63,0,0,0,0,0,0,21500,15836,15419,17585,3.4,5.75,10.82,2.25,1.49,0.28,,0.37,0.28,0.06,0.94,14.4,8.5,13,16.4,17.6,16.1,19.1,21.3,4.2,14.4,16,12.8,1,1,1,0,0,1,4,169,1,98,96,114,8,36,1,58,95,6,6,,
170182,3,0,MENORAH MEDICAL CENTER,66209,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,170182,68,77,80,61,69,64,90,53,73,62,72,1.049632629,35.39823009,0,0,1.139384732,0.732469562,21388,17498,14696,17860.66667,3,7.44,9.89,2.01,1.05,0.16,121.64,0.32,0.12,0.06,0.9,15.1,7.3,13,18.9,14.8,16.1,20.2,21.4,4.4,15.9,17.4,13,1,1,1,0,0,1,4,210,1,100,97,156,6,42,0,97,,,0,,0
170191,3,0,GREAT BEND REGIONAL HOSPITAL,67530,Acute Care Hospitals,Proprietary,1,1,Below the national average,170191,80,79,81,70,71,64,83,52,75,64,79,0,444.4444444,0,0,0.477897252,0.569422037,,16095,13976,15035.5,2.4,4.14,8.71,2.28,1.89,0.35,,0.39,0.16,0.06,0.91,,11.2,14.1,19.6,,,20.9,22.2,3.6,14.3,16.9,,1,1,1,0,0,1,4,172,1,77,78,101,28,50,1,67,89,15,0,,
180002,3,0,WHITESBURG ARH HOSPITAL,41858,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180002,70,83,89,77,79,68,88,49,75,64,71,0,0,0,0.157047507,0.085012327,0.108201688,23930,13849,13409,17062.66667,,4.77,,2.26,1.08,0.28,,0.38,0.15,0.06,0.76,14.3,7.3,10.7,15.1,13.7,,23.7,25.9,,16.8,18.7,14,1,1,1,0,0,1,4,172,1,93,63,103,18,44,1,86,95,3,10,,
180004,3,0,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,42345,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180004,72,85,88,69,72,64,86,48,63,60,65,0,0,,0,1.643385374,0.593647967,,15210,13108,14159,3.2,4.37,,3.4,1.65,0.33,,0.45,0.16,0.06,0.9,,8.5,13.2,16.1,,,20.1,22.7,4.4,15.2,16.9,,1,1,1,0,0,1,4,262,1,88,83,142,30,60,3,100,92,2,,,
180009,3,0,KING'S DAUGHTERS' MEDICAL CENTER,41101,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,180009,72,83,83,70,73,64,86,54,73,70,74,0.350180927,0,0,0.018260171,1.112955189,0.531659912,23118,15483,14760,17787,3,4.61,11.85,2.79,1.04,0.09,123.57,0.34,0.15,0.06,0.74,14.4,7.5,11,16.4,15.7,18.7,21.8,24.7,5.4,17,17.7,14.2,1,1,1,0,0,1,4,265,3,99,88,131,20,53,2,75,,,0,77,
180011,3,0,SAINT JOSEPH LONDON,40741,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,180011,68,78,83,68,73,64,86,52,73,71,74,0.284010224,0,0,0.035596056,0.409903263,0.213926623,21534,16227,13565,17108.66667,3.7,5.56,11.82,3.27,1.52,1.1,148.06,0.48,0.23,0.06,1.03,13.3,8.2,11.2,13.1,13.5,16.1,18.5,23.4,4.5,15.6,15.3,11.8,1,1,1,0,1,1,5,416,3,98,91,210,45,62,4,32,91,9,10,,
180013,3,0,THE MEDICAL CENTER AT BOWLING GREEN,42101,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,180013,67,75,78,59,66,60,87,43,68,57,69,0.59447983,22.90076336,0,0.092572592,0.486817211,0.315689782,23122,17346,15174,18547.33333,3.9,1.9,7.01,2.48,0.96,3.05,170.67,0.43,0.21,0.06,0.77,12.9,10.6,10.7,16.4,15.5,19.9,22.7,22.1,5.1,15.9,17.8,13.1,1,1,1,1,1,1,6,332,3,94,89,194,50,84,4,46,,,5,83,3
180016,3,0,JEWISH HOSPITAL - SHELBYVILLE,40065,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,180016,72,78,77,68,69,60,83,42,67,65,60,0,0,,0,1.147666412,0.524017467,,18139,16268,17203.5,2.8,4.12,,2.26,2.52,0.35,,0.39,0.16,0.06,1.08,15.6,7.2,13.5,17.2,,,19.4,23,5.1,15,17.3,,1,1,1,0,0,1,4,288,1,97,92,146,46,45,2,32,97,5,,,
180017,3,0,T J SAMSON COMMUNITY HOSPITAL,42141,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,180017,69,77,81,69,66,59,83,51,64,68,63,0.333667,41.66666667,25.64102564,0.042866941,0.510907883,0.326193324,22595,15404,15488,17829,3.7,3.78,9.48,2.18,1.29,0.19,155.33,0.37,0.13,0.06,0.74,13.1,9.3,13,17.7,14.9,16.1,21.5,21.3,4.4,15.3,18.7,12.2,1,1,1,0,1,1,5,302,2,91,99,146,23,57,2,65,,,8,,
180019,3,0,MEADOWVIEW REGIONAL MEDICAL CENTER,41056,Acute Care Hospitals,Proprietary,1,1,Below the national average,180019,73,82,84,69,75,67,90,53,73,64,69,0.595592615,0,75,0,0.42462845,0.416939663,25284,17286,15023,19197.66667,3,5.41,9.1,2.27,0.97,0.3,113.49,0.36,0.15,0.06,0.77,13.4,7.9,12.7,20.2,17.7,17.6,19.8,21.6,4.2,14.9,17,12.6,1,1,1,0,0,1,4,238,2,99,49,98,15,26,0,99,100,4,0,,
180020,3,0,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,40965,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,180020,78,77,88,73,70,67,83,47,74,65,70,0,58.82352941,0,0,0.109781535,0.093409929,20372,13957,13306,15878.33333,,4.66,,,1.17,0.32,,0.38,0.15,0.06,0.79,16.9,8,13.6,16.3,13.4,,21.9,24.3,,15.4,18.2,12.7,1,1,1,0,1,1,5,327,2,92,89,151,32,70,3,100,96,3,0,,
180024,3,0,SPRING VIEW HOSPITAL,40033,Acute Care Hospitals,Proprietary,1,1,Same as the national average,180024,70,80,86,69,72,56,88,48,67,66,56,0.927643785,62.5,0,0,0,0.223089794,,14428,12641,13534.5,2.6,4.27,,2.25,1.29,0.36,,0.46,0.16,0.06,0.81,,8.3,12.6,18.8,,,20.2,22.5,4.9,15.9,16.2,,1,1,1,0,0,1,4,226,1,98,75,120,16,36,1,91,99,5,3,,
180027,3,0,MURRAY-CALLOWAY COUNTY HOSPITAL,42071,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180027,80,81,86,70,74,68,88,56,75,66,74,0.911854103,20,0,0.054945055,0.111875594,0.177143436,20413,13030,12635,15359.33333,3.7,4.76,10.09,2.72,0.75,0.22,,0.36,0.14,0.06,0.68,14.9,7.8,14.2,19.9,18.3,17.4,20.8,20.3,4.6,16.5,17.3,12.9,1,1,1,0,0,1,4,244,1,82,89,148,24,54,2,11,96,13,0,,
180036,3,0,OUR LADY OF BELLEFONTE HOSPITAL,41101,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180036,74,82,84,72,72,66,85,54,74,65,79,0.352485019,0,0,0,0.666949615,0.333236743,21273,16053,15199,17508.33333,3.5,6.93,12.05,2.18,1.39,0.58,140.82,0.32,0.13,0.06,0.99,14,6.1,12.2,16.6,13.3,18,20.7,25.2,5,16.4,17.9,12.4,1,1,1,0,1,1,5,249,2,98,89,185,29,80,3,87,97,9,,82,
180038,3,0,OWENSBORO HEALTH REGIONAL HOSPITAL,42303,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,180038,72,80,80,56,68,65,88,50,69,65,68,0.673465461,17.93721973,0,0.075375937,0.429356934,0.29543734,23978,15300,14278,17852,2.4,4.61,10.97,2.32,1.36,0.3,152.55,0.51,0.22,0.06,0.87,14.2,7.4,11.5,17.1,16.3,17.8,19.4,21.7,3.5,14.9,15.1,11.4,1,1,1,0,0,1,4,228,4,93,86,157,11,60,1,76,,,2,,0
180043,3,0,MEMORIAL HOSPITAL,40962,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180043,74,80,81,65,75,62,88,53,74,64,65,0,0,0,0,0.638263922,0.282985497,23005,15259,13241,17168.33333,,5,,,1.28,0.38,,0.45,0.15,0.06,0.86,13.9,6.1,11.2,12.5,,16.7,21.4,26.1,,16.6,18.5,,1,1,1,0,0,1,4,213,2,99,99,120,33,53,1,,99,12,4,,
180045,3,0,ST ELIZABETH FLORENCE,41042,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,180045,64,80,79,65,70,68,89,51,73,63,71,1.260398286,0,10,0.064984295,1.083071591,0.611329279,24845,16808,15595,19082.66667,,3.42,8.28,3.14,1.17,1.8,138.26,0.38,0.11,0.06,0.8,12.4,7.6,10.6,16,14.1,18,22.6,24.6,,16.9,19.7,12.2,1,1,1,0,1,1,5,261,3,100,67,137,17,25,0,95,100,11,,100,
180046,3,0,BOURBON COMMUNITY HOSPITAL,40361,Acute Care Hospitals,Proprietary,1,1,Not Available,180046,68,80,78,77,80,66,87,43,76,62,64,0,0,,0,0,0,,16035,12180,14107.5,,5.08,,,1.34,0.41,,0.4,0.17,,0.86,,8.7,13.6,18.2,,,19.7,22.1,,15,15.6,,1,1,1,0,0,1,4,188,1,100,79,87,13,29,0,95,97,4,,,
180049,3,0,BAPTIST HEALTH RICHMOND,40475,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180049,75,80,82,69,73,69,90,54,72,63,73,0.564652739,20.40816327,16.39344262,0.140350877,0.30418251,0.307366552,23965,16574,14856,18465,2.9,4.27,9.17,2.73,1.03,0.26,113.24,0.36,0.15,0.06,0.71,13.7,9,11.8,19.7,,17.2,19.2,22.5,4.4,16.1,19.1,,1,1,1,0,1,1,5,267,2,95,95,164,22,73,2,88,97,7,0,,
180053,3,0,FLEMING COUNTY HOSPITAL,41041,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,180053,80,84,86,75,74,71,91,52,76,75,74,0,0,,0,0,0,,15597,12999,14298,2.8,4.92,,,1.34,0.39,,0.39,0.17,0.06,0.85,,7.8,13.9,16.6,13.9,,20.1,24.1,4.5,15.9,20.2,12.1,1,1,1,0,0,1,4,227,1,98,49,133,15,32,1,58,97,6,,,
180064,3,0,SAINT JOSEPH MOUNT STERLING,40353,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,180064,81,82,83,67,75,68,91,52,75,70,71,1.158748552,0,0,0,0,0.125148614,,16045,14415,15230,4.3,6.06,9.92,,1.75,0.33,,0.39,0.16,0.06,1.01,,7.8,12.3,17.5,16.7,,21.1,22.2,4.2,15,17.8,,0,0,1,0,1,1,3,316,2,98,94,158,41,74,2,84,94,8,0,,
180066,3,0,LOGAN MEMORIAL HOSPITAL,42276,Acute Care Hospitals,Proprietary,1,1,Same as the national average,180066,79,82,88,75,77,67,87,51,75,69,70,0,0,,0,0.250941029,0.110533879,22147,15015,13880,17014,,4.49,,,1.24,0.34,,0.4,0.16,0.06,0.79,13.3,7.7,9.8,15.2,,,20.5,24,,16.6,15.8,,0,0,1,0,0,1,2,206,1,99,95,98,12,36,2,45,98,2,,,
180067,3,0,UNIVERSITY OF KENTUCKY HOSPITAL,40536,Acute Care Hospitals,Government,1,1,Above the national average,180067,70,82,80,67,69,66,87,55,72,61,75,1.366120219,33.126294,8.26446281,0.19426227,0.849501025,0.592979127,23178,16002,14492,17890.66667,2.4,5.49,9.96,1.7,0.67,0.07,144.98,0.59,0.29,0.06,0.76,14.9,8.3,11.9,18.5,14.6,18.3,21,25.8,4.3,17.1,19.4,15.7,1,1,1,1,1,1,6,567,4,97,91,233,26,85,2,80,,,10,100,0
180069,3,0,TUG VALLEY ARH REGIONAL MEDICAL CENTER,41503,Acute Care Hospitals,Proprietary,1,1,Same as the national average,180069,85,84,87,72,72,68,88,49,76,66,71,0,0,0,0,0,0,,13904,12026,12965,,5.77,,,1.18,0.34,,0.44,0.15,0.06,0.88,,7,10.8,15.9,,,23.5,24.5,,16.9,21.5,,1,1,1,0,0,1,4,233,1,99,90,133,28,52,1,74,84,0,0,,
180078,3,0,PAUL B HALL REGIONAL MEDICAL CENTER,41240,Acute Care Hospitals,Proprietary,1,1,Same as the national average,180078,64,78,86,61,66,59,85,51,63,70,64,0,0,,0,0.156985871,0.066317395,21465,16154,14224,17281,,4.67,,,1.25,0.35,,0.39,0.16,0.06,0.81,14.1,7.1,11.5,16.3,15.1,16.6,18.2,23.7,,15.9,18.5,,1,1,1,0,0,1,4,277,1,100,90,128,14,52,2,88,100,1,,,
180080,3,0,BAPTIST HEALTH CORBIN,40701,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180080,69,81,84,68,71,67,89,52,72,53,72,0.521920668,0,0,0.022186231,0.896205278,0.449366073,24344,15381,16454,18726.33333,3.2,3.32,13.95,2.16,2.03,0.55,112.66,0.32,0.11,0.06,0.93,14.4,7,11.3,17.9,15.1,16.5,20.5,22,4.8,15.5,17.7,12.3,1,1,1,0,0,1,4,304,3,97,93,195,31,65,2,84,94,6,2,,
180087,3,0,TAYLOR REGIONAL HOSPITAL,42718,Acute Care Hospitals,Government,1,1,Below the national average,180087,72,79,85,60,67,66,86,49,68,54,71,2.15285253,0,0,0,0,0.172659386,23771,16617,14385,18257.66667,3.1,5.03,,2.16,2.1,0.89,,0.55,0.15,0.06,1.1,14.1,8.3,10.5,14.2,,17.2,17.9,20.9,4.3,14.9,17.1,,1,1,1,1,1,1,6,251,2,90,94,147,18,56,2,90,95,3,0,,
180088,3,0,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,40202,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180088,66,79,79,64,69,61,86,52,70,58,72,1.053098326,48.81450488,17.33232856,0.105265928,0.905675781,0.574008878,22915,16228,15611,18251.33333,2.7,6.25,7.96,3.03,1.1,0.35,144.68,0.29,0.32,0.06,0.86,13.3,7.8,10.5,16.7,14.4,17,21.5,21.1,4.7,16,17.2,12.9,1,1,1,1,1,1,6,294,4,95,80,179,34,24,3,91,100,6,4,74,3
180093,3,0,BAPTIST HEALTH MADISONVILLE,42431,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180093,71,79,77,66,69,62,86,49,65,61,65,0.997008973,26.31578947,40,0.051303099,0.604063701,0.411991372,22124,16353,15443,17973.33333,2.8,4.27,6.57,2.09,1.49,0.15,130.72,0.35,0.12,0.06,0.78,13.4,9.5,14.8,20.3,18.8,16.1,21.9,22.4,4.8,15,17.4,13.5,1,1,1,0,1,1,5,276,2,99,97,184,35,80,6,80,100,11,0,,
180095,3,0,CRITTENDEN HEALTH SYSTEM,42064,Acute Care Hospitals,Proprietary,1,1,Not Available,180095,59,82,90,57,76,62,85,57,69,64,70,0,153.8461538,0,0,0,0.277238703,,14482,13355,13918.5,,4.83,,,1.23,0.4,,0.4,0.17,0.06,0.82,,8.2,13,18.9,15,,19.8,22.9,,15.7,16.6,,1,0,1,0,0,1,3,155,1,98,81,74,14,67,1,43,86,7,,,
180101,3,0,GEORGETOWN COMMUNITY HOSPITAL,40324,Acute Care Hospitals,Proprietary,1,1,Same as the national average,180101,67,80,83,66,75,70,89,55,74,63,71,1.336005344,83.33333333,0,0.146327188,0.162522347,0.344827586,,15463,14617,15040,,5.21,9.68,2.25,2.16,1.07,,0.39,0.16,0.06,1.1,,8.1,11.9,18.2,14.5,,20.6,22.3,,15.1,16.4,,1,1,1,0,0,1,4,222,2,97,86,110,16,33,2,100,99,7,3,,
180104,3,0,BAPTIST HEALTH PADUCAH,42003,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180104,75,82,82,64,70,65,88,53,77,64,77,1.17589417,38.0952381,0,0.096444416,0.609880057,0.440659165,22837,15533,13206,17192,2.8,2.52,5.61,2.99,1.31,0.11,154.4,0.47,0.1,0.06,0.65,15.2,11.6,14.9,16.5,17,16.5,18.9,21.6,5.1,15.9,16.5,12.8,1,0,1,0,1,1,4,278,2,97,98,174,16,51,3,91,,,5,95,17
180106,3,0,THE MEDICAL CENTER AT ALBANY,42602,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,180106,88,91,98,82,83,66,82,61,90,83,79,0,,,0,0,0,,14685,12904,13794.5,,5.02,,,1.33,0.39,,0.4,0.17,0.06,0.85,,8.9,16.2,20.7,,,21.7,23.3,,16,18,,1,1,1,0,0,1,4,211,1,97,82,110,16,43,3,75,95,4,,,
180115,3,0,ROCKCASTLE REGIONAL HOSPITAL & RESPIRATORY CARE CT,40456,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,180115,93,90,96,89,78,75,90,64,88,76,80,0,,,0,0.645577792,0.304924531,,16630,13194,14912,,,,,1.39,0.42,,0.4,0.17,,0.89,,8.7,13,16.1,15.1,,21.4,24.1,,16.5,20,,1,1,1,0,1,1,5,202,1,91,88,112,18,48,2,83,91,7,,,
180116,3,0,JACKSON PURCHASE MEDICAL CENTER,42066,Acute Care Hospitals,Government,1,1,Below the national average,180116,72,80,85,68,72,66,88,51,75,63,72,2.177463255,0,0,0.059502559,1.050485077,0.708678587,22545,16819,15781,18381.66667,,4.16,,2.24,1.16,0.2,,0.49,0.14,0.06,0.76,14.8,7.6,11.3,14.5,14.3,18,19.4,22.4,5.2,16.3,21.6,12.9,1,1,1,0,0,1,4,211,2,98,89,109,14,24,1,68,99,4,0,,
